,,,,,,All Type of Report (All Grades) for 01-Jan-2023 to 25-Feb-2026,,,,,
State,District,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2023 to 25-02-2026,Arrival Unit,Min Price 01-01-2023 to 25-02-2026,Modal Price 01-01-2023 to 25-02-2026,Max Price 01-01-2023 to 25-02-2026,Price Unit
Maharashtra,Ahmednagar,Vegetables,Onion,01-01-2023,0.00,1902.00,Metric Tonnes,229.34,1216.27,2077.45,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,03-01-2023,0.00,444.00,Metric Tonnes,400.00,1650.00,2400.00,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,04-01-2023,0.00,2377.00,Metric Tonnes,491.35,1378.71,2039.84,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,07-01-2023,0.00,9483.00,Metric Tonnes,659.16,1376.69,1760.93,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,08-01-2023,0.00,2458.00,Metric Tonnes,284.78,1187.43,1977.50,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,10-01-2023,0.00,558.00,Metric Tonnes,265.59,1340.86,1870.43,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,11-01-2023,0.00,2856.00,Metric Tonnes,358.96,1196.15,1935.25,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,12-01-2023,0.00,7601.00,Metric Tonnes,738.67,1177.51,1542.91,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,14-01-2023,0.00,4095.00,Metric Tonnes,403.44,1066.42,1500.51,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,15-01-2023,0.00,1731.00,Metric Tonnes,300.00,1200.00,2000.00,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,17-01-2023,0.00,1316.00,Metric Tonnes,416.07,1276.71,1891.19,Rs./Quintal
Maharashtra,Ahmednagar,Vegetables,Onion,19-01-2023,0.00,5886.00,Metric Tonnes,900.00,1300.00,1700.00,Rs./Quintal
