,,,,,All Type of Report (All Grades) for 01-Jan-2023 to 25-Feb-2026,,,,
State,District,Market,Commodity Group,Commodity,Date,Arrival Quantity 01-01-2023 to 25-02-2026,Arrival Unit,Modal Price 01-01-2023 to 25-02-2026,Price Unit
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,14-01-2023,32.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,22-01-2023,37.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,29-01-2023,52.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,04-02-2023,28.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-02-2023,32.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-02-2023,31.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,18-02-2023,47.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,21-02-2023,54.00,Metric Tonnes,950.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,26-02-2023,43.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,28-02-2023,31.00,Metric Tonnes,950.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,02-03-2023,59.00,Metric Tonnes,950.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,05-03-2023,43.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,12-03-2023,56.00,Metric Tonnes,850.00,Rs./Quintal
