commodity,commodity_group,state,district,date,arrival_quantity,min_price,modal_price,max_price,msp,arrival_unit,price_unit,date_processed
Tomato,Vegetables,Maharashtra,Ahmednagar,01-01-2023,13.00,415.38,730.77,1046.15,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093425
Tomato,Vegetables,Maharashtra,Ahmednagar,03-01-2023,5.00,500.00,600.00,700.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093446
Tomato,Vegetables,Maharashtra,Ahmednagar,04-01-2023,7.00,357.14,671.43,985.71,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093455
Tomato,Vegetables,Maharashtra,Ahmednagar,06-01-2023,6.00,500.00,750.00,1050.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093463
Tomato,Vegetables,Maharashtra,Ahmednagar,07-01-2023,13.00,507.69,826.92,1161.54,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093470
Tomato,Vegetables,Maharashtra,Ahmednagar,08-01-2023,11.00,309.09,640.91,972.73,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093477
Tomato,Vegetables,Maharashtra,Ahmednagar,10-01-2023,4.00,200.00,600.00,1000.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093485
Tomato,Vegetables,Maharashtra,Ahmednagar,11-01-2023,6.00,650.00,900.00,1150.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093492
Tomato,Vegetables,Maharashtra,Ahmednagar,12-01-2023,21.00,366.67,540.48,714.29,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093500
Tomato,Vegetables,Maharashtra,Ahmednagar,13-01-2023,3.00,500.00,750.00,1000.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093507
Tomato,Vegetables,Maharashtra,Ahmednagar,14-01-2023,23.00,300.00,647.83,995.65,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093515
Tomato,Vegetables,Maharashtra,Ahmednagar,15-01-2023,5.00,460.00,860.00,1260.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093523
Tomato,Vegetables,Maharashtra,Ahmednagar,17-01-2023,16.00,562.50,928.13,1318.75,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093533
Tomato,Vegetables,Maharashtra,Ahmednagar,18-01-2023,9.00,644.44,1150.00,1622.22,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093540
Tomato,Vegetables,Maharashtra,Ahmednagar,19-01-2023,10.00,590.00,1100.00,1610.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093549
Tomato,Vegetables,Maharashtra,Ahmednagar,20-01-2023,5.00,500.00,770.00,1080.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093557
Tomato,Vegetables,Maharashtra,Ahmednagar,21-01-2023,22.00,540.91,804.55,1081.82,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093564
Tomato,Vegetables,Maharashtra,Ahmednagar,22-01-2023,45.00,448.89,783.33,1140.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093571
Tomato,Vegetables,Maharashtra,Ahmednagar,23-01-2023,25.00,432.00,671.68,912.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093578
Tomato,Vegetables,Maharashtra,Ahmednagar,24-01-2023,29.00,413.79,594.83,793.10,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093585
Tomato,Vegetables,Maharashtra,Ahmednagar,25-01-2023,5.00,680.00,880.00,1120.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093592
Tomato,Vegetables,Maharashtra,Ahmednagar,26-01-2023,17.00,447.06,770.59,1094.12,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093601
Tomato,Vegetables,Maharashtra,Ahmednagar,27-01-2023,6.00,650.00,1025.00,1400.00,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093608
Tomato,Vegetables,Maharashtra,Ahmednagar,28-01-2023,27.00,372.22,513.89,655.56,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093616
Tomato,Vegetables,Maharashtra,Ahmednagar,29-01-2023,41.00,275.61,521.95,768.29,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093623
Tomato,Vegetables,Maharashtra,Ahmednagar,30-01-2023,19.00,368.42,618.42,868.42,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093631
Tomato,Vegetables,Maharashtra,Ahmednagar,31-01-2023,18.00,286.11,511.11,736.11,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093638
Tomato,Vegetables,Maharashtra,Ahmednagar,01-02-2023,17.00,394.12,679.41,964.71,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093645
Tomato,Vegetables,Maharashtra,Ahmednagar,02-02-2023,21.00,345.24,458.33,571.43,0.00,Metric Tonnes,Rs./Quintal,2026-02-28T11:33:19.093652
